Date,Price,Open,High,Low,Vol.,Change %
12/31/2023,4697.24,4745.2,4754.33,4682.11,,-1.52%
12/24/2023,4769.83,4758.86,4793.3,4751.99,,0.32%
12/17/2023,4754.63,4725.58,4778.01,4697.82,,0.75%
12/10/2023,4719.19,4593.39,4738.57,4593.39,,2.49%
12/03/2023,4604.37,4564.37,4609.23,4546.5,,0.21%
11/26/2023,4594.63,4554.86,4599.39,4537.24,,0.77%
11/19/2023,4559.34,4511.7,4568.43,4510.36,,1.00%
11/12/2023,4514.02,4406.66,4521.17,4393.82,,2.24%
11/05/2023,4415.24,4364.27,4418.03,4343.94,,1.31%
10/29/2023,4358.34,4139.39,4373.62,4132.94,,5.85%
10/22/2023,4117.37,4210.4,4259.38,4103.78,,-2.53%
10/15/2023,4224.16,4342.37,4393.57,4223.03,,-2.39%
10/08/2023,4327.78,4289.02,4385.85,4283.79,,0.45%
09/24/2023,4288.05,4310.62,4338.51,4238.63,,-0.74%
09/17/2023,4320.06,4445.13,4466.36,4316.49,,-2.93%
09/10/2023,4450.32,4480.98,4511.99,4447.21,,-0.16%
09/03/2023,4457.49,4510.06,4514.29,4430.46,,-1.29%
08/27/2023,4515.77,4426.03,4541.25,4414.98,,2.50%
08/20/2023,4405.71,4380.28,4458.3,4356.29,,0.82%
08/13/2023,4369.71,4458.13,4490.33,4335.31,,-2.11%
08/06/2023,4464.05,4491.58,4527.37,4443.98,,-0.31%
07/30/2023,4478.03,4584.82,4594.22,4474.55,,-2.27%
07/23/2023,4582.23,4543.39,4607.07,4528.56,,1.01%
07/16/2023,4536.34,4508.86,4578.43,4504.9,,0.69%
07/09/2023,4505.42,4394.23,4527.76,4389.92,,2.42%
07/02/2023,4398.95,4450.48,4456.46,4385.05,,-1.16%
06/25/2023,4450.38,4344.84,4458.48,4328.08,,2.35%
06/18/2023,4348.33,4396.11,4400.15,4341.34,,-1.39%
06/11/2023,4409.59,4308.32,4448.47,4304.37,,2.58%
06/04/2023,4298.86,4282.99,4322.62,4261.07,,0.39%
05/28/2023,4282.37,4226.71,4290.67,4166.15,,1.83%
05/21/2023,4205.45,4190.78,4212.87,4103.98,,0.32%
05/14/2023,4191.98,4126.65,4212.91,4109.86,,1.65%
05/07/2023,4124.08,4136.98,4154.28,4098.92,,-0.29%
04/30/2023,4136.25,4166.79,4186.92,4048.28,,-0.80%
