Date,Price,Open,High,Low,Vol.,Change %
12/31/2023,2929.18 ,2972.77 ,2976.27 ,2916.72 ,115.56B,-1.54%
12/24/2023,2974.93 ,2909.88 ,2975.03 ,2890.17 ,133.57B,2.06%
12/17/2023,2914.78 ,2936.58 ,2951.15 ,2882.02 ,140.37B,-0.94%
12/10/2023,2942.56 ,2956.29 ,3003.75 ,2930.42 ,149.14B,-0.91%
12/03/2023,2969.56 ,3033.30 ,3038.98 ,2949.14 ,154.16B,-2.05%
11/26/2023,3031.64 ,3038.19 ,3039.69 ,3010.23 ,142.64B,-0.31%
11/19/2023,3040.97 ,3056.93 ,3089.77 ,3034.30 ,147.17B,-0.44%
11/12/2023,3054.37 ,3044.03 ,3080.13 ,3028.17 ,142.82B,0.51%
11/05/2023,3038.97 ,3047.13 ,3064.58 ,3027.09 ,163.67B,0.27%
10/29/2023,3030.80 ,3009.61 ,3040.98 ,3002.35 ,149.79B,0.43%
10/22/2023,3017.78 ,2969.79 ,3029.21 ,2923.51 ,153.59B,1.16%
10/15/2023,2983.06 ,3091.06 ,3091.13 ,2977.17 ,136.27B,-3.40%
10/08/2023,3088.10 ,3100.00 ,3109.99 ,3071.94 ,130.96B,-0.72%
09/24/2023,3110.48 ,3131.21 ,3131.21 ,3102.27 ,95.75B,-0.70%
09/17/2023,3132.43 ,3110.44 ,3132.56 ,3078.80 ,125.59B,0.47%
09/10/2023,3117.74 ,3119.61 ,3155.10 ,3106.97 ,133.08B,0.03%
09/03/2023,3116.72 ,3145.94 ,3177.06 ,3104.67 ,142.48B,-0.53%
08/27/2023,3133.25 ,3219.04 ,3219.04 ,3089.12 ,183.78B,2.26%
08/20/2023,3064.07 ,3125.99 ,3134.96 ,3053.04 ,144.07B,-2.17%
08/13/2023,3131.95 ,3159.71 ,3186.23 ,3123.25 ,144.39B,-1.80%
08/06/2023,3189.25 ,3276.78 ,3276.78 ,3189.25 ,156.56B,-3.01%
07/30/2023,3288.08 ,3287.21 ,3322.13 ,3247.27 ,217.99B,0.37%
07/23/2023,3275.93 ,3157.47 ,3280.28 ,3151.13 ,162.06B,3.42%
07/16/2023,3167.75 ,3219.02 ,3219.02 ,3157.33 ,116.69B,-2.16%
07/09/2023,3237.70 ,3208.73 ,3248.39 ,3192.66 ,128.55B,1.29%
07/02/2023,3196.61 ,3209.16 ,3246.96 ,3189.21 ,135.74B,-0.17%
06/25/2023,3202.06 ,3177.23 ,3212.99 ,3144.25 ,138.77B,0.13%
06/18/2023,3197.90 ,3271.16 ,3271.16 ,3197.90 ,92.04B,-2.30%
06/11/2023,3273.33 ,3225.30 ,3276.55 ,3210.71 ,153.75B,1.30%
06/04/2023,3231.41 ,3231.81 ,3247.35 ,3180.54 ,145.21B,0.04%
05/28/2023,3230.07 ,3219.76 ,3233.99 ,3186.63 ,150.25B,0.55%
05/21/2023,3212.50 ,3278.60 ,3308.53 ,3168.57 ,138.32B,-2.16%
05/14/2023,3283.54 ,3269.88 ,3317.90 ,3235.87 ,159.16B,0.34%
05/07/2023,3272.36 ,3340.99 ,3418.95 ,3271.43 ,226.04B,-1.86%
04/30/2023,3334.50 ,3306.48 ,3364.14 ,3302.03 ,91.99B,0.34%
04/23/2023,3323.27 ,3300.81 ,3324.88 ,3229.45 ,183.62B,0.67%
04/16/2023,3301.26 ,3337.06 ,3396.17 ,3301.26 ,183.51B,-1.11%
04/09/2023,3338.15 ,3331.51 ,3340.08 ,3298.25 ,169.06B,0.32%
04/02/2023,3327.65 ,3277.34 ,3328.85 ,3276.42 ,135.37B,1.67%
03/26/2023,3272.86 ,3261.82 ,3278.42 ,3220.98 ,151.40B,0.22%
03/19/2023,3265.65 ,3253.93 ,3286.65 ,3231.65 ,161.58B,0.46%
03/12/2023,3250.55 ,3228.12 ,3279.92 ,3216.99 ,159.04B,0.63%
03/05/2023,3230.08 ,3332.02 ,3342.86 ,3229.50 ,153.61B,-2.95%
02/26/2023,3328.39 ,3257.00 ,3330.60 ,3246.14 ,148.54B,1.87%
02/19/2023,3267.16 ,3230.47 ,3308.79 ,3225.84 ,140.14B,1.34%
02/12/2023,3224.02 ,3256.99 ,3308.83 ,3223.26 ,149.74B,-1.12%
02/05/2023,3260.67 ,3244.70 ,3270.38 ,3225.77 ,126.79B,-0.08%
01/29/2023,3263.41 ,3308.87 ,3310.49 ,3235.35 ,161.97B,-0.04%
01/15/2023,3264.81 ,3198.52 ,3267.06 ,3197.32 ,124.51B,2.18%
01/08/2023,3195.31 ,3169.37 ,3195.31 ,3153.40 ,116.57B,1.19%
01/01/2023,3157.64 ,3087.51 ,3170.74 ,3073.05 ,106.91B,2.21%
12/25/2022,3089.26 ,3048.20 ,3098.65 ,3047.35 ,108.64B,1.42%
12/18/2022,3045.87 ,3165.31 ,3170.26 ,3031.54 ,110.21B,-3.85%
12/11/2022,3167.86 ,3195.87 ,3196.72 ,3151.61 ,138.76B,-1.22%
12/04/2022,3206.95 ,3181.92 ,3226.08 ,3177.06 ,186.94B,1.61%
11/27/2022,3156.14 ,3055.29 ,3198.41 ,3034.70 ,176.48B,1.76%
11/20/2022,3101.69 ,3078.06 ,3118.12 ,3056.17 ,148.87B,0.14%
11/13/2022,3097.24 ,3100.87 ,3145.75 ,3074.50 ,158.37B,0.32%
11/06/2022,3087.29 ,3062.86 ,3117.74 ,3022.85 ,149.27B,0.54%
10/30/2022,3070.80 ,2893.20 ,3081.59 ,2885.09 ,153.60B,5.31%
10/23/2022,2915.93 ,3034.75 ,3064.42 ,2908.98 ,138.05B,-4.05%
10/16/2022,3038.93 ,3060.52 ,3099.92 ,3013.69 ,122.91B,-1.08%
10/09/2022,3071.99 ,3026.94 ,3084.27 ,2934.09 ,122.70B,1.57%
